Height[m]  Pressure[hPa]  Temperature[°C]  Dewpoint[°C]  Wind direction[°]  Wind speed[m/s]
4570       557.98         -6.53            -38.65        257.6              11.45
4580       557.27         -6.60            -38.57        257.6              11.40
4590       556.56         -6.69            -38.50        257.6              11.31
4600       555.85         -6.75            -38.45        257.8              11.29
4610       555.14         -6.84            -38.39        258.1              11.27
4620       554.43         -6.93            -38.33        258.5              11.15
4630       553.72         -7.01            -38.26        259.2              11.09
4640       553.02         -7.10            -38.21        260.1              11.07
4650       552.31         -7.18            -38.18        261.1              11.05
4660       551.61         -7.25            -38.17        261.6              10.98
4670       550.90         -7.32            -38.17        261.9              10.90
4680       550.20         -7.39            -38.18        262.7              10.91
4690       549.49         -7.47            -38.20        263.6              10.92
4700       548.79         -7.55            -38.22        264.2              10.86
4710       548.09         -7.64            -38.24        264.6              10.88
4720       547.39         -7.72            -38.26        265.3              10.95
4730       546.69         -7.80            -38.28        265.6              10.99
4740       545.99         -7.86            -38.29        265.5              11.03
4750       545.29         -7.95            -38.31        265.1              11.10
4760       544.59         -8.02            -38.31        265.1              11.19
4770       543.89         -8.10            -38.30        264.8              11.27
4780       543.19         -8.17            -38.27        264.6              11.29
4790       542.50         -8.26            -38.22        263.9              11.32
4800       541.80         -8.35            -38.14        263.5              11.34
4810       541.10         -8.45            -38.03        263.2              11.31
4820       540.41         -8.54            -37.95        262.8              11.33
4830       539.72         -8.62            -37.86        262.6              11.36
4840       539.02         -8.69            -37.80        262.2              11.37
4850       538.33         -8.78            -37.73        261.9              11.40
4860       537.64         -8.87            -37.67        261.6              11.41
4870       536.95         -8.95            -37.62        261.1              11.46
4880       536.26         -9.04            -37.57        261.0              11.53
4890       535.57         -9.17            -37.49        260.8              11.56
4900       534.88         -9.28            -37.41        260.6              11.56
4910       534.19         -9.40            -37.34        260.4              11.57
4920       533.50         -9.48            -37.28        260.0              11.58
4930       532.81         -9.55            -37.23        259.7              11.58
4940       532.13         -9.61            -37.19        259.6              11.56
4950       531.44         -9.71            -37.13        259.5              11.58
4960       530.75         -9.80            -37.09        259.5              11.63
4970       530.07         -9.91            -37.06        260.0              11.65
4980       529.39         -9.98            -37.05        260.4              11.66
4990       528.70         -10.08           -37.05        261.2              11.74
5000       528.02         -10.15           -37.05        261.7              11.82
5010       527.34         -10.24           -37.06        262.4              11.76
5020       526.66         -10.33           -37.07        263.0              11.71
5030       525.97         -10.43           -37.10        263.5              11.70
5040       525.29         -10.52           -37.15        263.6              11.69
5050       524.61         -10.60           -37.23        263.7              11.58
5060       523.94         -10.66           -37.31        263.7              11.51
5070       523.26         -10.74           -37.43        264.0              11.48
5080       522.58         -10.80           -37.53        264.3              11.40
5090       521.90         -10.88           -37.65        264.8              11.25
5100       521.23         -10.96           -37.78        265.6              11.18
5110       520.55         -11.05           -37.92        266.5              11.23
5120       519.88         -11.13           -38.03        266.3              11.24
5130       519.20         -11.20           -38.13        265.9              11.18
5140       518.53         -11.25           -38.20        265.6              11.18
5150       517.86         -11.32           -38.31        265.9              11.22
5160       517.18         -11.38           -38.41        266.3              11.22
5170       516.51         -11.45           -38.54        267.0              11.22
5180       515.84         -11.52           -38.67        268.5              11.27
5190       515.17         -11.59           -38.81        269.9              11.38
5200       514.50         -11.65           -38.94        270.4              11.43
5210       513.83         -11.71           -39.07        270.6              11.45
5220       513.17         -11.76           -39.19        270.3              11.48
5230       512.50         -11.83           -39.34        270.3              11.62
5240       511.83         -11.89           -39.46        270.1              11.70
5250       511.17         -11.95           -39.59        269.1              11.75
5260       510.50         -12.03           -39.72        268.3              11.79
5270       509.84         -12.09           -39.84        268.2              11.91
5280       509.18         -12.16           -39.94        268.0              11.98
5290       508.51         -12.23           -40.05        267.1              11.90
5300       507.85         -12.29           -40.13        266.5              11.97
5310       507.19         -12.35           -40.20        266.3              12.10
5320       506.53         -12.42           -40.28        265.3              12.10
5330       505.87         -12.49           -40.35        264.0              12.07
5340       505.21         -12.57           -40.41        263.4              12.12
5350       504.55         -12.64           -40.46        263.2              12.21
5360       503.89         -12.72           -40.52        263.4              12.22
5370       503.23         -12.80           -40.57        263.3              12.11
5380       502.58         -12.89           -40.61        264.5              12.09
5390       501.92         -12.97           -40.65        265.2              12.17
5400       501.27         -13.04           -40.68        264.7              12.04
5410       500.61         -13.12           -40.70        265.1              11.88
5420       499.96         -13.19           -40.71        265.5              11.89
5430       499.30         -13.27           -40.73        265.6              11.91
5440       498.65         -13.35           -40.72        265.3              11.83
5450       498.00         -13.42           -40.73        265.3              11.74
5460       497.35         -13.50           -40.73        265.7              11.72
5470       496.70         -13.58           -40.73        265.6              11.66
5480       496.05         -13.67           -40.74        265.8              11.59
5490       495.40         -13.76           -40.74        266.1              11.49
5500       494.75         -13.85           -40.75        266.5              11.46
5510       494.10         -13.94           -40.75        266.3              11.41
5520       493.45         -14.03           -40.75        266.0              11.38
5530       492.80         -14.11           -40.75        265.7              11.36
5540       492.16         -14.19           -40.74        265.9              11.37
5550       491.51         -14.26           -40.74        266.4              11.37
5560       490.87         -14.34           -40.74        266.8              11.39
5570       490.22         -14.42           -40.75        267.5              11.41
5580       489.58         -14.49           -40.76        267.9              11.38
5590       488.94         -14.55           -40.78        268.3              11.37
5600       488.29         -14.62           -40.83        267.9              11.36
5610       487.65         -14.69           -40.92        267.7              11.30
5620       487.01         -14.77           -41.01        267.5              11.17
5630       486.37         -14.85           -41.12        267.3              11.11
